         6048547 function calls (6048529 primitive calls) in 3.290 seconds

   Ordered by: cumulative time
   List reduced from 346 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.041    0.041 _exp_clustering.py:347(_enrich_failure_data)
     2200    0.004    0.000    0.040    0.000 leaderboard_scoring.py:1194(compute_composite)
   468555    0.040    0.000    0.040    0.000 {method 'append' of 'list' objects}
     9552    0.004    0.000    0.038    0.000 fromnumeric.py:3783(mean)
      826    0.008    0.000    0.038    0.000 _exp_clustering.py:121(_compute_transitions)
     2200    0.005    0.000    0.037    0.000 leaderboard_scoring.py:1132(compute_composite_v8_1)
        1    0.000    0.000    0.036    0.036 <stdin>:25(task_dashboard_headline)
        1    0.000    0.000    0.036    0.036 notebook_dashboard.py:27(get_dashboard_headline_summary)
      826    0.006    0.000    0.036    0.000 _exp_clustering.py:103(_compute_momentum)
       16    0.007    0.000    0.035    0.002 _exp_clustering.py:16(_vectorized_kmeans)
     2200    0.013    0.000    0.032    0.000 leaderboard_scoring.py:905(_compute_composite_generic)
      458    0.016    0.000    0.030    0.000 {built-in method builtins.sorted}
    18927    0.029    0.000    0.029    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       69    0.000    0.000    0.027    0.000 notebook_observability.py:34(_percentile)
     2200    0.002    0.000    0.027    0.000 leaderboard_scoring.py:253(build_score_kwargs_from_prefetch)
        1    0.000    0.000    0.026    0.026 <stdin>:30(task_routing)
        1    0.000    0.000    0.026    0.026 analytics_routing.py:141(routing_mode_comparison)
   219530    0.025    0.000    0.025    0.000 {method 'setdefault' of 'dict' objects}
     2200    0.012    0.000    0.025    0.000 leaderboard_scoring.py:91(_pr_dict_to_score_kwargs)
    30043    0.023    0.000    0.023    0.000 _notebook_misc_shared.py:616(_empty_template_stat)
        1    0.006    0.006    0.022    0.022 _exp_clustering.py:456(_compute_stability)
      237    0.000    0.000    0.021    0.000 distance.py:2793(cdist)
      237    0.021    0.000    0.021    0.000 {built-in method scipy.spatial._distance_pybind.cdist_euclidean}
   453610    0.020    0.000    0.020    0.000 {built-in method math.isfinite}
     1652    0.001    0.000    0.019    0.000 fromnumeric.py:3913(std)
     1652    0.002    0.000    0.018    0.000 _methods.py:225(_std)
        1    0.003    0.003    0.017    0.017 leaderboard_scoring.py:225(prefetch_program_results)
     1652    0.009    0.000    0.016    0.000 _methods.py:153(_var)
        1    0.000    0.000    0.015    0.015 <stdin>:40(task_compression)
      712    0.000    0.000    0.015    0.000 {method 'mean' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.015    0.015 analytics_ops.py:268(compression_primitive_effectiveness)
   109149    0.008    0.000    0.012    0.000 notebook_observability.py:36(<genexpr>)
      192    0.003    0.000    0.012    0.000 _notebook_misc_shared.py:431(_summarize_template_stat)
        6    0.008    0.001    0.011    0.002 _exp_clustering.py:467(_agreement)
     1200    0.004    0.000    0.011    0.000 notebook_references.py:323(_classify_architecture_family)
     7873    0.010    0.000    0.011    0.000 {built-in method builtins.sum}
    41882    0.009    0.000    0.010    0.000 {built-in method builtins.max}
    38132    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
        1    0.001    0.001    0.008    0.008 _exp_clustering.py:311(_load_cluster_experiments)
     1620    0.001    0.000    0.008    0.000 __init__.py:299(loads)
     1200    0.003    0.000    0.008    0.000 notebook_leaderboard.py:77(_normalize_benchmark_fields)
    11916    0.006    0.000    0.007    0.000 _methods.py:77(_count_reduce_items)
     1620    0.001    0.000    0.007    0.000 decoder.py:332(decode)
     4035    0.002    0.000    0.007    0.000 fromnumeric.py:69(_wrapreduction)
    75119    0.006    0.000    0.006    0.000 notebook_observability.py:325(<genexpr>)
      826    0.002    0.000    0.006    0.000 _exp_clustering.py:168(_compute_recovery_lag)
    45681    0.005    0.000    0.005    0.000 notebook_observability.py:317(<genexpr>)
     1620    0.005    0.000    0.005    0.000 decoder.py:343(raw_decode)
     2350    0.001    0.000    0.005    0.000 fromnumeric.py:2349(sum)
     2200    0.003    0.000    0.004    0.000 leaderboard_scoring.py:825(_apply_scoring_penalties)
     2011    0.004    0.000    0.004    0.000 {built-in method numpy.array}


